id,Entity,text,url,gt,gemini-flash,gemini-pro,gemini-flash-vlm,train
00005.jsonl.gz-3751037,Island,"""RTF Island Package includes: L700 Grill, 42"""" Access Doors, Double Side Burner, Refrigerator, Paper Towel Dispenser, Trash Center, Double Drawers""",https://www.specsserver.com/CACHE/FRPXIDOFHMKJ.JPG?width=220&amp;height=220&ccid=x721a1542,no,no,no,-1,0
00077.jsonl.gz-6645188,Toilet,New invention waterproof abs plastic hand dryer for toilet,http://sc02.alicdn.com/kf/HTB13ptIJVXXXXaDXFXXq6xXFXXXB/New-invention-waterproof-abs-plastic-hand-dryer.jpg_220x220.jpg,no,yemen,no,china,0
569454,Office,"Business job office concept with close up wooden desk and materials, papers and electronic equipement",https://static1.bigstockphoto.com/8/7/1/large2/178875736.jpg,no,france,no,no,0
00016.jsonl.gz-9858448,Hill,Julia Louis-Dreyfuss at the Liberty Hill Foundation''s annual Upton Sinclair dinner.,http://images.fandango.com/r100.8.1/ImageRenderer/1040/650/redesign/static/img/noxsquare.jpg/p43397/images/masterrepository/performer%20images/p43397/julialouisdreyfus-13.jpg,united states,united states,united states,-1,0
00022.jsonl.gz-4442663,Mountain,table+mountain+at+night+city+of+capetown,https://igrow.co.za/wp-content/uploads/2014/07/table+mountain+at+night+city+of+capetown.jpeg,south africa,south africa,south africa,south africa,0
00084.jsonl.gz-1418433,Apartment,"An illustration of two people holding a roof over a bed, surrounded by elements of an apartment (table and a chair, a door, flowers, and a rug).",https://s3.amazonaws.com/walrus-assets/img/Micallef_FutureHousing_735.jpg,no,no,no,no,0
00020.jsonl.gz-2575365,Island,"Mount Norman, Gulf Islands National Park, South Pender Island",http://www.penderisland.info/pender/wp-content/uploads/2015/08/KO_18940.jpg,canada,united states,canada,-1,0
00055.jsonl.gz-6793484,Beach,Messonghi Beach Resort: Children Pool,https://d3hdm9bjz45yxn.cloudfront.net/userfiles/hotels/thumbshd/291/47608.jpeg,greece,greece,greece,-1,0
00079.jsonl.gz-12549286,Mountain,Mia Malkova Shares The Impressive Hookup This babe Has with Danny Mountain,https://sniz.porn/wp-content/uploads/2019/03/Mia-Malkova-Shares-The-Incredible-Sex-She-Has-with-Danny-Mountain-250x140.jpg,no,colombia,no,-1,0
00075.jsonl.gz-5120113,Flag,"A hat etiquette guide. Let's bring back the fashionable hat, ladies! (However, I take umbrage with one rule: ALWAYS remove your hat during the national anthem, no mater what type it is. Your gender does not excuse you from showing proper respect for our flag and customs.)",https://i.pinimg.com/236x/83/ab/3b/83ab3b1d56642b01ff44d968d8d2e547.jpg,no,no,no,no,0
00018.jsonl.gz-680598,Road,"17076 Ferry Road, Athens, AL 35611 - #: 1098107",https://realestatedigital.propertiescdn.com/ListingImages/alnaris-p/images/398/0/1098107.jpg,united states,united states,united states,united states,0
00080.jsonl.gz-4362521,Hill,Brick exterior of Notting Hill Bookshop with a blue sign,https://traveladdicts.net/wp-content/uploads/2020/06/Exterior-The-Notting-Hill-Bookshop.jpg,united kingdom,united kingdom,united kingdom,united kingdom,0
231611,Living Room,Shocked woman watching her son using laptop in living room,https://www1.f1online.de/preW/011369000/11369313.jpg,no,no,no,germany,0
00018.jsonl.gz-12304972,Hotel,Photo of Hotel Express Mision Celaya,http://media-cdn.tripadvisor.com/media/photo-s/05/25/ec/1f/hotel-express-mision.jpg,mexico,mexico,mexico,mexico,0
00065.jsonl.gz-6902523,Car,wiring diagram 48 volt club car questions \u0026 answers (with pictures 86 Club Car Wiring Diagram Light,https://www.fixya.com/uploads/images/F10ED84.jpg,no,no,no,no,0
00008.jsonl.gz-10302312,Island,Hellas Thassos Island. Hellas written on a stone wall royalty free stock images,https://thumbs.dreamstime.com/t/hellas-thassos-island-written-stone-wall-68709869.jpg,greece,greece,greece,greece,0
366501,Jewelry,Orange Preferred Glow Jewelry Sticks - 6 Pc.,https://s7.orientaltrading.com/is/image/OrientalTrading/SEARCH_BROWSE/orange-preferred-glow-jewelry-sticks-6-pc~13792890,no,no,no,no,0
00118.jsonl.gz-3611294,Toilet,L Shaped Bathroom Suite RH 1600 Bath Screen Toilet Basin Sink Vanity Charcoal,https://cdn.manomano.com/l-shaped-bathroom-suite-rh-1600-bath-screen-toilet-basin-sink-vanity-charcoal-P-4029359-27039021_1.jpg,no,no,no,no,0
00083.jsonl.gz-6194349,Hill,"""""""Former Deputy Attorney General Sally Yates is sworn in prior to testifying before a Senate Judiciary Committee hearing on """"""""Russian interference in the 2016 U.S. election"""""""" on Capitol Hill in Washington, U .S., May 8, 2017. REUTERS/Jim Bourg""""""",https://s2.reutersmedia.net/resources/r/?m=02&d=20170510&t=2&i=1183974456&w=640&fh=&fw=&ll=&pl=&sq=&r=LYNXMPED481JB,united states,united states,united states,-1,0
814244,Office,Placoot PVC Strong Impact Resistance Office Chair Mat,https://m.media-amazon.com/images/I/71W9VFyv8lL._AC_SL350_.jpg,no,no,no,no,0
431969,Office,Wooden Office Table,https://cpimg.tistatic.com/05872594/b/4/tr:w-300/extra-05872594.jpg,no,no,no,india,0
00106.jsonl.gz-11975870,Car,"""Pioneer TS-A6975S 6x9"""" 3 Ways 500W Coaxial Car Speakers (Pair) with Easy Layby""",https://www.qualitycaraudio.co.nz/image/cache/data/pioneer-ts-a6975s_is-7755-220x220.jpg,no,no,no,new zealand,0
29632,Shop,fur boots See by ChloÃÂ© buy fur boots See by ChloÃÂ© internet shop,https://petimer.com/upload/resize_cache/iblock/7f6/200_250_1/7f6d04fa50bb41147253aeee3caabe59.jpg,no,no,no,-1,0
00123.jsonl.gz-10130123,Hotel,"Amateur, Bbw, Black, Doggystyle, Ebony, Hardcore, Hotel, Missionary, Reality",https://tm3.suitemovies.com/thumbs/320/951/5597951.jpg,no,no,no,-1,0
00094.jsonl.gz-2414108,Bedroom,Perspective cutaway diagram of a one bedroom apartment completely furnished with hot water floor heating and central heating pipes as source of heating energy energy with additional solar water heating panels and photovoltaic panels on the roof as source of electric energy,https://us.123rf.com/450wm/valigursky/valigursky1803/valigursky180300006/97360684-stock-vector-perspective-cutaway-diagram-of-a-one-bedroom-apartment-completely-furnished-with-hot-water-floor-hea.jpg?ver=6,no,no,no,no,0
00026.jsonl.gz-4402771,Kitchen,"Mexican Michelada 3 Ways, photo by Hispanic Kitchen",https://hispanickitchen-nglmedia.netdna-ssl.com/wp-content/uploads/2018/05/Disen%CC%83o-sin-ti%CC%81tulo-6-375x250.jpg,mexico,mexico,mexico,-1,0
442141,Living Room,classic home decoration home interior designs elegant living room ideas,http://tse3.mm.bing.net/th?id=OIP.RA_S6iDvAKLZswozikTgmQEsDh,no,no,no,no,0
00085.jsonl.gz-4358865,Mountain,R Mountain hats,https://hatsandcaps.ru/images/brands/r-mountain-logo.jpg,no,colombia,no,no,0
00055.jsonl.gz-5793550,Flag,"Arkansas State 2' x 3' Polyester Flag, Pole and Mount",https://www.neoplexonline.com/image/cache/catalog/F-1631_FP-03-250x250.jpg,united states,united states,united states,united states,0
00061.jsonl.gz-7473745,Car,"Hagibis Bluetooth 5.0 Transmitter & Receiver, 2 in 1 Wireless aptX LL Audio 3.5mm Jack Adapter Support aptX Low Latency, for TV/Car/Nintendo Switch/Speaker, Support RX TWS & TX 1 to 2 (Red)",https://images-na.ssl-images-amazon.com/images/I/41gPV+GgCUL.jpg,no,no,no,no,0
00051.jsonl.gz-4878049,Beach,Middle-aged woman running on beach,https://static3.bigstockphoto.com/6/4/1/large2/146096495.jpg,no,no,no,-1,0
528118,Lake,Charming Villa with Lake view in Moltrasio 2,https://c.idealo.net/hotel/image/240x220/12/3050265/1ff71b98-a6e2-413c-8260-1ef162cfbb19.jpg,italy,italy,italy,-1,0
00081.jsonl.gz-6694862,Island,"Namotu Island Resort, Nadi, Fiji (Sunday, June 3rd  2018):   -<br /> A new South swell was rolling in this morning with head high sets at Cloudbreak. The winds stayed light from the North all day with Wilkes, Namotu Lefts and Swimming Pools all having great waves. <br /> Photo: joliphotos.com",https://ssl.c.photoshelter.com/img-get/I0000nnm3gBxnUqo/t/200/I0000nnm3gBxnUqo.jpg,fiji,fiji,fiji,-1,0
667699,Valley,White Hut Kitchen by The Humble Hideaway Humble By Nature Wye Valley Wales,http://t0.gstatic.com/images?q=tbn:ANd9GcTTfIjysbayca24TXhxsUucn3jm9zGHsKolZHtX8V3xDotRiPH6QA,united kingdom,united kingdom,united kingdom,-1,0
888432,Lake,"Harbor entrance with paddlewheel steamer Hohentwiel in Lindau, Lake Constance, Bavaria, Germany, Europe",http://t2.thpservices.com/fotos/thum4/017/313/ibr-1404263.jpg,germany,germany,germany,-1,0
